Nama Juice Buah,Rating,Total Reviews,Alamat,Latitude,Longitude,Place ID
Bakso Urat Arema Soringin Cabang Langensari,4.6,864,"Jl. Langensari, Klitren, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55222, Indonesia",-7.786063899999999,110.38263889999999,ChIJSzwJUp5Zei4RGEO_4eWS2-k
Bakso Klenger Ratu Sari Nologaten,4.5,8625,"Jl. Jatempanol No.433, Nologaten, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.7786114,110.4001993,ChIJV5DJKMJZei4RztThNVU9I-s
Warung Sumsum Merapi ( Bakso Sumsum Merapi & Coffee ),4.4,451,"7CC5+7CQ, Jl. Plosokuning IV, Ploso Kuning IV, Minomartani, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581, Indonesia",-7.729342099999998,110.40886909999999,ChIJF7DeP1pZei4RFYoYInKux-w
Mie Ayam & Bakso Mbak Reny,4.6,86,"Jl. Wahid Hasyim No.137, Ngropoh, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.7715005999999995,110.4017322,ChIJvyu3_fJZei4R07ykC9GUmmc
Mie Ayam & Bakso Urat Kharisma Jaya - Colombo,4.3,549,"Samirono, Jl. Colombo, Karang Malang, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.7768241,110.381655,ChIJg6PB08tZei4RU_uHy4DgH_0
BAKSO TITOTI Yogyakarta,4.6,1884,"Jl. Ring Road Utara, Nanggulan, Maguwoharjo, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.7786601,110.43004540000001,ChIJ_aeSHGtbei4RZINr4ep1wDI
Bakso Cak Man Ambarukmo Plaza,4.4,1180,"Jl. Laksda Adisucipto No.62, Ambarukmo, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.7820293,110.4012831,ChIJCdBKBeVZei4RcYx-6Tcm_iM
Bakso Pak Bagong,4.4,37,"6CV5+C32, Jl. Wijaya Kusuma, Perumnas Condong Catur, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.7564984,110.4076496,ChIJ_dpEmJ5Zei4R_jP6paUuQ4s
BAKSO PAK WASIYO DEPAN RRI,4.2,181,"Jl. Komp. Colombo, Mrican, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.7792105,110.388634,ChIJ_V-0pGBZei4R9wMFcpTabvs
"Bakso Rusuk & Mie Ayam "" Tali Roso """,4.4,1088,"Jl. Palagan Tentara Pelajar No.21, Mudal, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581, Indonesia",-7.7382803,110.3762926,ChIJzXjvEONYei4RRgJAkqzZyCQ
Warung Bakso Moro Tresno Solo,4.4,150,"Jl. Walesdadi Sulipto No.243, Ambarukmo, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.782029599999999,110.40080200000001,ChIJ4eOq8sJZei4RFXyBg7FoTQQ
Bakso Daging Sapi Pak Kintel,4.4,561,"Jl. Raya Janti No.29, Gowok, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.7856251,110.4102041,ChIJn2SqvuVZei4RxshvuyghA2A
"Bakso Bakwan Kawi 99, Pringgodani, Spesial Tetelan & Bakso Urat",4.6,10,"Jl Brojomusti , pringgodani, Santren, Depok, sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.772575600000001,110.3941433,ChIJ-YBb01ZZei4RaaMwO_m3R_g
Bakso Go Express,5,4,"Jl. Bali No.18, Dabag, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.7651908999999995,110.4019117,ChIJKR-gVQBZei4RS9p_-0-X-Zg
Bakso & Mie Ayam Sukses,4.6,42,"Klebengan Ruko, Jl. Manggis 8 B 17, Karang Gayam, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.7659243999999985,110.3864971,ChIJS5k-Nj5Zei4RMZenJFZ6ziQ
"Bakso Super ""Pak Restu""",4.7,241,"Jl. Bimokunthing No.2, Demangan, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55221, Indonesia",-7.7873092999999995,110.38727089999999,ChIJm5ymANFZei4RNSuWBb3D2FQ
Bakso & Mie Ayam Mandala,4.5,2375,"Jl. Jati Mataram No.291, Kutu Dukuh, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284, Indonesia",-7.7617967,110.3680029,ChIJBZKVklBYei4RentGPY0maMo
